Unnamed: 0,FileName,Time Recorded,Tool bounding box,Phase
61,191S7__00061.jpg,2.12,[],Nothing
62,191S7__00062.jpg,2.16,[],Nothing
63,191S7__00063.jpg,2.19,[],Nothing
64,191S7__00064.jpg,2.22,[],Nothing
65,191S7__00065.jpg,2.26,[],Nothing
66,191S7__00066.jpg,2.29,[],Nothing
67,191S7__00067.jpg,2.33,[],Nothing
68,191S7__00068.jpg,2.36,[],Nothing
69,191S7__00069.jpg,2.4,[],Nothing
70,191S7__00070.jpg,2.43,"[{'class': 'iris', 'xmin': 637, 'ymin': 181, 'xmax': 1275, 'ymax': 825}, {'class': 'diamondkeratomestraight', 'xmin': 156, 'ymin': 658, 'xmax': 733, 'ymax': 846}, {'class': 'forceps', 'xmin': 1303, 'ymin': 420, 'xmax': 1919, 'ymax': 843}, {'class': 'skinholder', 'xmin': 1808, 'ymin': 0, 'xmax': 1920, 'ymax': 87}, {'class': 'skinholder', 'xmin': 266, 'ymin': 696, 'xmax': 745, 'ymax': 1078}]",Nothing
71,191S7__00071.jpg,2.46,[],Nothing
72,191S7__00072.jpg,2.5,[],Nothing
73,191S7__00073.jpg,2.53,[],Nothing
74,191S7__00074.jpg,2.57,[],Nothing
75,191S7__00075.jpg,2.6,[],Nothing
76,191S7__00076.jpg,2.64,[],Nothing
77,191S7__00077.jpg,2.67,[],Nothing
78,191S7__00078.jpg,2.7,[],Nothing
79,191S7__00079.jpg,2.74,[],Nothing
80,191S7__00080.jpg,2.77,"[{'class': 'iris', 'xmin': 708, 'ymin': 191, 'xmax': 1323, 'ymax': 822}, {'class': 'diamondkeratomestraight', 'xmin': 157, 'ymin': 681, 'xmax': 686, 'ymax': 858}, {'class': 'skinholder', 'xmin': 1792, 'ymin': 0, 'xmax': 1919, 'ymax': 71}, {'class': 'forceps', 'xmin': 1295, 'ymin': 417, 'xmax': 1918, 'ymax': 824}]",Nothing
81,191S7__00081.jpg,2.81,[],Nothing
82,191S7__00082.jpg,2.84,[],Nothing
83,191S7__00083.jpg,2.88,[],Nothing
84,191S7__00084.jpg,2.91,[],Nothing
85,191S7__00085.jpg,2.94,[],Nothing
86,191S7__00086.jpg,2.98,[],Nothing
87,191S7__00087.jpg,3.01,[],Nothing
88,191S7__00088.jpg,3.05,[],Nothing
89,191S7__00089.jpg,3.08,[],Nothing
90,191S7__00090.jpg,3.12,"[{'class': 'iris', 'xmin': 838, 'ymin': 195, 'xmax': 1465, 'ymax': 823}, {'class': 'diamondkeratomestraight', 'xmin': 1355, 'ymin': 408, 'xmax': 1902, 'ymax': 740}, {'class': 'skinholder', 'xmin': 1784, 'ymin': 0, 'xmax': 1920, 'ymax': 70}, {'class': 'skinholder', 'xmin': 256, 'ymin': 678, 'xmax': 716, 'ymax': 1078}, {'class': 'diamondkeratomestraight', 'xmin': 204, 'ymin': 725, 'xmax': 672, 'ymax': 888}]",Nothing
91,191S7__00091.jpg,3.15,[],Nothing
92,191S7__00092.jpg,3.18,[],Nothing
93,191S7__00093.jpg,3.22,[],Nothing
94,191S7__00094.jpg,3.25,[],Nothing
95,191S7__00095.jpg,3.29,[],Nothing
96,191S7__00096.jpg,3.32,[],Nothing
97,191S7__00097.jpg,3.36,[],Nothing
98,191S7__00098.jpg,3.39,[],Nothing
99,191S7__00099.jpg,3.42,[],Nothing
100,191S7__00100.jpg,3.46,"[{'class': 'iris', 'xmin': 862, 'ymin': 155, 'xmax': 1475, 'ymax': 784}, {'class': 'forceps', 'xmin': 1501, 'ymin': 349, 'xmax': 1919, 'ymax': 702}, {'class': 'diamondkeratomestraight', 'xmin': 150, 'ymin': 660, 'xmax': 739, 'ymax': 873}, {'class': 'skinholder', 'xmin': 283, 'ymin': 675, 'xmax': 734, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 1677, 'ymin': 748, 'xmax': 1918, 'ymax': 872}]",Nothing
101,191S7__00101.jpg,3.49,[],Nothing
102,191S7__00102.jpg,3.53,[],Nothing
103,191S7__00103.jpg,3.56,[],Nothing
104,191S7__00104.jpg,3.6,[],Nothing
105,191S7__00105.jpg,3.63,[],Nothing
106,191S7__00106.jpg,3.66,[],Nothing
107,191S7__00107.jpg,3.7,[],Nothing
108,191S7__00108.jpg,3.73,[],Nothing
109,191S7__00109.jpg,3.77,[],Nothing
110,191S7__00110.jpg,3.8,"[{'class': 'iris', 'xmin': 838, 'ymin': 169, 'xmax': 1467, 'ymax': 778}, {'class': 'forceps', 'xmin': 1483, 'ymin': 370, 'xmax': 1919, 'ymax': 693}, {'class': 'diamondkeratomestraight', 'xmin': 241, 'ymin': 709, 'xmax': 703, 'ymax': 856}, {'class': 'skinholder', 'xmin': 289, 'ymin': 649, 'xmax': 773, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 1673, 'ymin': 751, 'xmax': 1918, 'ymax': 854}]",Nothing
111,191S7__00111.jpg,3.83,[],Nothing
112,191S7__00112.jpg,3.87,[],Nothing
113,191S7__00113.jpg,3.9,[],Nothing
114,191S7__00114.jpg,3.94,[],Nothing
115,191S7__00115.jpg,3.97,[],Nothing
116,191S7__00116.jpg,4.01,[],Nothing
117,191S7__00117.jpg,4.04,[],Nothing
118,191S7__00118.jpg,4.07,[],Nothing
119,191S7__00119.jpg,4.11,[],Nothing
120,191S7__00120.jpg,4.14,"[{'class': 'iris', 'xmin': 765, 'ymin': 134, 'xmax': 1400, 'ymax': 757}, {'class': 'skinholder', 'xmin': 1666, 'ymin': 738, 'xmax': 1920, 'ymax': 837}, {'class': 'diamondkeratomestraight', 'xmin': 212, 'ymin': 737, 'xmax': 722, 'ymax': 900}, {'class': 'skinholder', 'xmin': 257, 'ymin': 623, 'xmax': 720, 'ymax': 1078}, {'class': 'forceps', 'xmin': 1408, 'ymin': 355, 'xmax': 1914, 'ymax': 671}]",Nothing
121,191S7__00121.jpg,4.18,[],Nothing
122,191S7__00122.jpg,4.21,[],Nothing
123,191S7__00123.jpg,4.24,[],Nothing
124,191S7__00124.jpg,4.28,[],Nothing
125,191S7__00125.jpg,4.31,[],Nothing
126,191S7__00126.jpg,4.35,[],Nothing
127,191S7__00127.jpg,4.38,[],Nothing
128,191S7__00128.jpg,4.42,[],Nothing
129,191S7__00129.jpg,4.45,[],Nothing
130,191S7__00130.jpg,4.49,"[{'class': 'iris', 'xmin': 737, 'ymin': 110, 'xmax': 1360, 'ymax': 749}, {'class': 'skinholder', 'xmin': 239, 'ymin': 647, 'xmax': 753, 'ymax': 1077}, {'class': 'skinholder', 'xmin': 1661, 'ymin': 742, 'xmax': 1920, 'ymax': 845}, {'class': 'forceps', 'xmin': 1420, 'ymin': 385, 'xmax': 1829, 'ymax': 611}, {'class': 'diamondkeratomestraight', 'xmin': 211, 'ymin': 681, 'xmax': 743, 'ymax': 827}]",Nothing
131,191S7__00131.jpg,4.52,[],Nothing
132,191S7__00132.jpg,4.55,[],Nothing
133,191S7__00133.jpg,4.59,[],Nothing
134,191S7__00134.jpg,4.62,[],Nothing
135,191S7__00135.jpg,4.66,[],Nothing
136,191S7__00136.jpg,4.69,[],Nothing
137,191S7__00137.jpg,4.72,[],Nothing
138,191S7__00138.jpg,4.76,[],Nothing
139,191S7__00139.jpg,4.79,[],Nothing
140,191S7__00140.jpg,4.83,"[{'class': 'iris', 'xmin': 751, 'ymin': 111, 'xmax': 1366, 'ymax': 740}, {'class': 'skinholder', 'xmin': 1666, 'ymin': 719, 'xmax': 1916, 'ymax': 835}, {'class': 'skinholder', 'xmin': 267, 'ymin': 642, 'xmax': 758, 'ymax': 1078}, {'class': 'diamondkeratomestraight', 'xmin': 220, 'ymin': 647, 'xmax': 779, 'ymax': 792}, {'class': 'forceps', 'xmin': 1393, 'ymin': 305, 'xmax': 1918, 'ymax': 662}]",Nothing
141,191S7__00141.jpg,4.86,[],Nothing
142,191S7__00142.jpg,4.89,[],Nothing
143,191S7__00143.jpg,4.93,[],Nothing
144,191S7__00144.jpg,4.96,[],Nothing
145,191S7__00145.jpg,5,[],Nothing
146,191S7__00146.jpg,5.03,[],Nothing
147,191S7__00147.jpg,5.07,[],Nothing
148,191S7__00148.jpg,5.1,[],Nothing
149,191S7__00149.jpg,5.14,[],Nothing
150,191S7__00150.jpg,5.17,"[{'class': 'skinholder', 'xmin': 250, 'ymin': 616, 'xmax': 815, 'ymax': 1075}, {'class': 'iris', 'xmin': 723, 'ymin': 107, 'xmax': 1372, 'ymax': 723}, {'class': 'skinholder', 'xmin': 1665, 'ymin': 699, 'xmax': 1920, 'ymax': 807}, {'class': 'diamondkeratomestraight', 'xmin': 240, 'ymin': 662, 'xmax': 793, 'ymax': 802}, {'class': 'forceps', 'xmin': 1374, 'ymin': 292, 'xmax': 1918, 'ymax': 669}]",Nothing
151,191S7__00151.jpg,5.2,[],Nothing
152,191S7__00152.jpg,5.24,[],Nothing
153,191S7__00153.jpg,5.27,[],Nothing
154,191S7__00154.jpg,5.31,[],Nothing
155,191S7__00155.jpg,5.34,[],Nothing
156,191S7__00156.jpg,5.38,[],Nothing
157,191S7__00157.jpg,5.41,[],Nothing
158,191S7__00158.jpg,5.44,[],Nothing
159,191S7__00159.jpg,5.48,[],Nothing
160,191S7__00160.jpg,5.51,"[{'class': 'iris', 'xmin': 818, 'ymin': 93, 'xmax': 1424, 'ymax': 733}, {'class': 'skinholder', 'xmin': 258, 'ymin': 628, 'xmax': 851, 'ymax': 1077}, {'class': 'skinholder', 'xmin': 1696, 'ymin': 719, 'xmax': 1920, 'ymax': 827}, {'class': 'diamondkeratomestraight', 'xmin': 259, 'ymin': 665, 'xmax': 822, 'ymax': 816}, {'class': 'forceps', 'xmin': 1435, 'ymin': 328, 'xmax': 1918, 'ymax': 660}]",Nothing
161,191S7__00161.jpg,5.55,[],Nothing
162,191S7__00162.jpg,5.58,[],Nothing
163,191S7__00163.jpg,5.61,[],Nothing
164,191S7__00164.jpg,5.65,[],Nothing
165,191S7__00165.jpg,5.68,[],Nothing
166,191S7__00166.jpg,5.72,[],Nothing
167,191S7__00167.jpg,5.75,[],Nothing
168,191S7__00168.jpg,5.78,[],Nothing
169,191S7__00169.jpg,5.82,[],Nothing
170,191S7__00170.jpg,5.85,"[{'class': 'iris', 'xmin': 830, 'ymin': 84, 'xmax': 1460, 'ymax': 729}, {'class': 'diamondkeratomestraight', 'xmin': 380, 'ymin': 553, 'xmax': 973, 'ymax': 719}, {'class': 'skinholder', 'xmin': 1681, 'ymin': 713, 'xmax': 1919, 'ymax': 821}, {'class': 'forceps', 'xmin': 1472, 'ymin': 344, 'xmax': 1898, 'ymax': 570}]",Nothing
171,191S7__00171.jpg,5.89,[],Nothing
172,191S7__00172.jpg,5.92,[],Nothing
173,191S7__00173.jpg,5.96,[],Nothing
174,191S7__00174.jpg,5.99,[],Nothing
175,191S7__00175.jpg,6.03,[],Nothing
176,191S7__00176.jpg,6.06,[],Nothing
177,191S7__00177.jpg,6.09,[],Nothing
178,191S7__00178.jpg,6.13,[],Nothing
179,191S7__00179.jpg,6.16,[],Nothing
180,191S7__00180.jpg,6.2,"[{'class': 'iris', 'xmin': 824, 'ymin': 77, 'xmax': 1449, 'ymax': 722}, {'class': 'skinholder', 'xmin': 1651, 'ymin': 691, 'xmax': 1919, 'ymax': 810}, {'class': 'diamondkeratomestraight', 'xmin': 362, 'ymin': 397, 'xmax': 959, 'ymax': 542}, {'class': 'skinholder', 'xmin': 238, 'ymin': 604, 'xmax': 727, 'ymax': 1078}, {'class': 'forceps', 'xmin': 1468, 'ymin': 322, 'xmax': 1918, 'ymax': 587}]",Nothing
181,191S7__00181.jpg,6.23,[],Nothing
182,191S7__00182.jpg,6.26,[],Nothing
183,191S7__00183.jpg,6.3,[],Nothing
184,191S7__00184.jpg,6.33,[],Nothing
185,191S7__00185.jpg,6.37,[],Nothing
186,191S7__00186.jpg,6.4,[],Nothing
187,191S7__00187.jpg,6.44,[],Nothing
188,191S7__00188.jpg,6.47,[],Nothing
189,191S7__00189.jpg,6.5,[],Nothing
190,191S7__00190.jpg,6.54,"[{'class': 'iris', 'xmin': 823, 'ymin': 79, 'xmax': 1436, 'ymax': 728}, {'class': 'diamondkeratomestraight', 'xmin': 266, 'ymin': 495, 'xmax': 962, 'ymax': 711}, {'class': 'skinholder', 'xmin': 1644, 'ymin': 718, 'xmax': 1920, 'ymax': 837}, {'class': 'forceps', 'xmin': 1454, 'ymin': 325, 'xmax': 1893, 'ymax': 548}, {'class': 'skinholder', 'xmin': 269, 'ymin': 616, 'xmax': 719, 'ymax': 1075}]",Nothing
191,191S7__00191.jpg,6.57,[],Nothing
192,191S7__00192.jpg,6.61,[],Nothing
193,191S7__00193.jpg,6.64,[],Nothing
194,191S7__00194.jpg,6.68,[],Nothing
195,191S7__00195.jpg,6.71,[],Nothing
196,191S7__00196.jpg,6.74,[],Nothing
197,191S7__00197.jpg,6.78,[],Nothing
198,191S7__00198.jpg,6.81,[],Nothing
199,191S7__00199.jpg,6.85,[],Nothing
200,191S7__00200.jpg,6.88,"[{'class': 'iris', 'xmin': 832, 'ymin': 44, 'xmax': 1455, 'ymax': 697}, {'class': 'diamondkeratomestraight', 'xmin': 187, 'ymin': 441, 'xmax': 807, 'ymax': 631}, {'class': 'skinholder', 'xmin': 1666, 'ymin': 681, 'xmax': 1920, 'ymax': 796}, {'class': 'forceps', 'xmin': 1470, 'ymin': 275, 'xmax': 1908, 'ymax': 499}, {'class': 'skinholder', 'xmin': 261, 'ymin': 602, 'xmax': 725, 'ymax': 1075}]",Nothing
201,191S7__00201.jpg,6.91,[],Nothing
202,191S7__00202.jpg,6.95,[],Nothing
203,191S7__00203.jpg,6.98,[],Nothing
204,191S7__00204.jpg,7.02,[],Nothing
205,191S7__00205.jpg,7.05,[],Nothing
206,191S7__00206.jpg,7.09,[],Nothing
207,191S7__00207.jpg,7.12,[],Nothing
208,191S7__00208.jpg,7.16,[],Nothing
209,191S7__00209.jpg,7.19,[],Nothing
210,191S7__00210.jpg,7.22,"[{'class': 'diamondkeratomestraight', 'xmin': 86, 'ymin': 507, 'xmax': 758, 'ymax': 690}, {'class': 'iris', 'xmin': 829, 'ymin': 67, 'xmax': 1451, 'ymax': 720}, {'class': 'skinholder', 'xmin': 1683, 'ymin': 694, 'xmax': 1919, 'ymax': 816}, {'class': 'forceps', 'xmin': 1468, 'ymin': 290, 'xmax': 1912, 'ymax': 533}, {'class': 'skinholder', 'xmin': 274, 'ymin': 607, 'xmax': 747, 'ymax': 1078}]",Nothing
211,191S7__00211.jpg,7.26,[],Nothing
212,191S7__00212.jpg,7.29,[],Nothing
213,191S7__00213.jpg,7.33,[],Nothing
214,191S7__00214.jpg,7.36,[],Nothing
215,191S7__00215.jpg,7.39,[],Nothing
216,191S7__00216.jpg,7.43,[],Nothing
217,191S7__00217.jpg,7.46,[],Nothing
218,191S7__00218.jpg,7.5,[],Nothing
219,191S7__00219.jpg,7.53,[],Nothing
220,191S7__00220.jpg,7.57,"[{'class': 'diamondkeratomestraight', 'xmin': 69, 'ymin': 498, 'xmax': 742, 'ymax': 693}, {'class': 'iris', 'xmin': 825, 'ymin': 77, 'xmax': 1441, 'ymax': 725}, {'class': 'skinholder', 'xmin': 1670, 'ymin': 711, 'xmax': 1920, 'ymax': 829}, {'class': 'skinholder', 'xmin': 253, 'ymin': 633, 'xmax': 676, 'ymax': 1078}, {'class': 'forceps', 'xmin': 1460, 'ymin': 301, 'xmax': 1918, 'ymax': 568}]",Nothing
221,191S7__00221.jpg,7.6,[],Nothing
222,191S7__00222.jpg,7.63,[],Nothing
223,191S7__00223.jpg,7.67,[],Nothing
224,191S7__00224.jpg,7.7,[],Nothing
225,191S7__00225.jpg,7.74,[],Nothing
226,191S7__00226.jpg,7.77,[],Nothing
227,191S7__00227.jpg,7.8,[],Nothing
228,191S7__00228.jpg,7.84,[],Nothing
229,191S7__00229.jpg,7.87,[],Nothing
230,191S7__00230.jpg,7.91,"[{'class': 'iris', 'xmin': 794, 'ymin': 69, 'xmax': 1414, 'ymax': 722}, {'class': 'diamondkeratomestraight', 'xmin': 70, 'ymin': 457, 'xmax': 734, 'ymax': 637}, {'class': 'skinholder', 'xmin': 229, 'ymin': 628, 'xmax': 730, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 1646, 'ymin': 708, 'xmax': 1920, 'ymax': 822}, {'class': 'forceps', 'xmin': 1433, 'ymin': 315, 'xmax': 1908, 'ymax': 557}]",Nothing
231,191S7__00231.jpg,7.94,[],Nothing
232,191S7__00232.jpg,7.98,[],Nothing
233,191S7__00233.jpg,8.01,[],Nothing
234,191S7__00234.jpg,8.05,[],Nothing
235,191S7__00235.jpg,8.08,[],Nothing
236,191S7__00236.jpg,8.11,[],Nothing
237,191S7__00237.jpg,8.15,[],Nothing
238,191S7__00238.jpg,8.18,[],Nothing
239,191S7__00239.jpg,8.22,[],Nothing
240,191S7__00240.jpg,8.25,"[{'class': 'skinholder', 'xmin': 248, 'ymin': 641, 'xmax': 682, 'ymax': 1076}, {'class': 'iris', 'xmin': 805, 'ymin': 124, 'xmax': 1416, 'ymax': 740}, {'class': 'diamondkeratomestraight', 'xmin': 138, 'ymin': 461, 'xmax': 769, 'ymax': 623}, {'class': 'skinholder', 'xmin': 1659, 'ymin': 735, 'xmax': 1920, 'ymax': 841}, {'class': 'forceps', 'xmin': 1441, 'ymin': 347, 'xmax': 1906, 'ymax': 587}]",Nothing
241,191S7__00241.jpg,8.28,[],Nothing
242,191S7__00242.jpg,8.32,[],Nothing
243,191S7__00243.jpg,8.35,[],Nothing
244,191S7__00244.jpg,8.39,[],Nothing
245,191S7__00245.jpg,8.42,[],Nothing
246,191S7__00246.jpg,8.46,[],Nothing
247,191S7__00247.jpg,8.49,[],Nothing
248,191S7__00248.jpg,8.52,[],Nothing
249,191S7__00249.jpg,8.56,[],Nothing
250,191S7__00250.jpg,8.59,"[{'class': 'diamondkeratomestraight', 'xmin': 288, 'ymin': 513, 'xmax': 923, 'ymax': 659}, {'class': 'iris', 'xmin': 807, 'ymin': 107, 'xmax': 1424, 'ymax': 712}, {'class': 'skinholder', 'xmin': 1660, 'ymin': 697, 'xmax': 1920, 'ymax': 815}, {'class': 'skinholder', 'xmin': 252, 'ymin': 596, 'xmax': 770, 'ymax': 1076}, {'class': 'forceps', 'xmin': 1424, 'ymin': 299, 'xmax': 1918, 'ymax': 553}]",Nothing
251,191S7__00251.jpg,8.63,[],Nothing
252,191S7__00252.jpg,8.66,[],Nothing
253,191S7__00253.jpg,8.69,[],Nothing
254,191S7__00254.jpg,8.73,[],Nothing
255,191S7__00255.jpg,8.76,[],Nothing
256,191S7__00256.jpg,8.8,[],Nothing
257,191S7__00257.jpg,8.83,[],Nothing
258,191S7__00258.jpg,8.87,[],Nothing
259,191S7__00259.jpg,8.9,[],Nothing
260,191S7__00260.jpg,8.94,"[{'class': 'iris', 'xmin': 838, 'ymin': 74, 'xmax': 1466, 'ymax': 718}, {'class': 'forceps', 'xmin': 1492, 'ymin': 315, 'xmax': 1919, 'ymax': 544}, {'class': 'diamondkeratomestraight', 'xmin': 405, 'ymin': 585, 'xmax': 1002, 'ymax': 723}, {'class': 'skinholder', 'xmin': 1691, 'ymin': 719, 'xmax': 1920, 'ymax': 830}]",Nothing
261,191S7__00261.jpg,8.97,[],Nothing
262,191S7__00262.jpg,9,[],Nothing
263,191S7__00263.jpg,9.04,[],Nothing
264,191S7__00264.jpg,9.07,[],Nothing
265,191S7__00265.jpg,9.11,[],Nothing
266,191S7__00266.jpg,9.14,[],Nothing
267,191S7__00267.jpg,9.18,[],Nothing
268,191S7__00268.jpg,9.21,[],Nothing
269,191S7__00269.jpg,9.24,[],Nothing
270,191S7__00270.jpg,9.28,"[{'class': 'forceps', 'xmin': 1476, 'ymin': 313, 'xmax': 1920, 'ymax': 543}, {'class': 'iris', 'xmin': 833, 'ymin': 67, 'xmax': 1462, 'ymax': 720}, {'class': 'diamondkeratomestraight', 'xmin': 384, 'ymin': 520, 'xmax': 989, 'ymax': 691}, {'class': 'skinholder', 'xmin': 1671, 'ymin': 715, 'xmax': 1920, 'ymax': 821}, {'class': 'skinholder', 'xmin': 292, 'ymin': 618, 'xmax': 683, 'ymax': 1078}]",Nothing
271,191S7__00271.jpg,9.31,[],Nothing
272,191S7__00272.jpg,9.35,[],Nothing
273,191S7__00273.jpg,9.38,[],Nothing
274,191S7__00274.jpg,9.41,[],Nothing
275,191S7__00275.jpg,9.45,[],Nothing
276,191S7__00276.jpg,9.48,[],Nothing
277,191S7__00277.jpg,9.52,[],Nothing
278,191S7__00278.jpg,9.55,[],Nothing
279,191S7__00279.jpg,9.59,[],Nothing
280,191S7__00280.jpg,9.62,"[{'class': 'iris', 'xmin': 834, 'ymin': 79, 'xmax': 1468, 'ymax': 721}, {'class': 'forceps', 'xmin': 1468, 'ymin': 313, 'xmax': 1920, 'ymax': 543}, {'class': 'skinholder', 'xmin': 1653, 'ymin': 719, 'xmax': 1920, 'ymax': 828}, {'class': 'skinholder', 'xmin': 252, 'ymin': 579, 'xmax': 850, 'ymax': 1077}, {'class': 'forceps', 'xmin': 293, 'ymin': 509, 'xmax': 894, 'ymax': 681}]",Nothing
281,191S7__00281.jpg,9.65,[],Nothing
282,191S7__00282.jpg,9.69,[],Nothing
283,191S7__00283.jpg,9.72,[],Nothing
284,191S7__00284.jpg,9.76,[],Nothing
285,191S7__00285.jpg,9.79,[],Nothing
286,191S7__00286.jpg,9.82,[],Nothing
287,191S7__00287.jpg,9.86,[],Nothing
288,191S7__00288.jpg,9.89,[],Nothing
289,191S7__00289.jpg,9.93,[],Nothing
290,191S7__00290.jpg,9.96,"[{'class': 'iris', 'xmin': 834, 'ymin': 84, 'xmax': 1465, 'ymax': 726}, {'class': 'diamondkeratomestraight', 'xmin': 281, 'ymin': 511, 'xmax': 870, 'ymax': 683}, {'class': 'skinholder', 'xmin': 1650, 'ymin': 735, 'xmax': 1920, 'ymax': 843}, {'class': 'skinholder', 'xmin': 249, 'ymin': 582, 'xmax': 804, 'ymax': 1075}, {'class': 'forceps', 'xmin': 1484, 'ymin': 324, 'xmax': 1918, 'ymax': 540}]",Nothing
